name,red,green,blue,HEX
agate grey,190,189,127,#BEBD7F
anthracite grey,194,176,120,#C2B078
antique pink,198,166,100,#C6A664
azure blue,229,190,001,#E5BE01
basalt grey,205,164,052,#CDA434
beige,169,131,007,#A98307
beige brown,228,160,016,#E4A010
beige grey,220,156,000,#DC9D00
beige red,138,102,066,#8A6642
black blue,199,180,070,#C7B446
black brown,234,230,202,#EAE6CA
black green,225,204,079,#E1CC4F
black grey,230,214,144,#E6D690
black olive,237,255,033,#EDFF21
black red,245,208,051,#F5D033
blue green,248,243,053,#F8F32B
blue grey,158,151,100,#9E9764
blue lilac,153,153,080,#999950
bottle green,243,218,011,#F3DA0B
bright red orange,250,210,001,#FAD201
brillant blue,174,160,075,#AEA04B
broom yellow,255,255,000,#FFFF00
brown beige,157,145,001,#9D9101
brown green,244,169,000,#F4A900
brown grey,214,174,001,#D6AE01
brown red,243,165,005,#F3A505
capri blue,239,169,074,#EFA94A
carmine red,106,093,077,#6A5D4D
cement grey,112,083,053,#705335
chestnut brown,243,159,024,#F39F18
chocolate brown,237,118,014,#ED760E
chrome green,201,060,032,#C93C20
claret violet,203,040,033,#CB2821
clay brown,255,117,020,#FF7514
cobalt blue,244,070,017,#F44611
concrete grey,255,035,001,#FF2301
copper brown,255,164,032,#FFA420
coral red,247,094,037,#F75E25
cream,245,064,033,#F54021
curry,216,075,032,#D84B20
daffodil yellow,236,124,038,#EC7C26
dahlia yellow,235,106,014,#E55137
deep orange,195,088,049,#C35831
distant blue,175,043,030,#AF2B1E
dusty grey,165,032,025,#A52019
emerald green,162,035,029,#A2231D
fawn brown,155,017,030,#9B111E
fern green,117,021,030,#75151E
fir green,094,033,041,#5E2129
flame red,065,034,039,#412227
gentian blue,100,036,036,#642424
golden yellow,120,031,025,#781F19
granite grey,193,135,107,#C1876B
graphite black,161,035,018,#A12312
graphite grey,211,110,112,#D36E70
grass green,234,137,154,#EA899A
green beige,179,040,033,#B32821
green blue,230,050,068,#E63244
green brown,213,048,050,#D53032
green grey,204,006,005,#CC0605
grey aluminium,217,080,048,#D95030
grey beige,248,000,000,#F80000
grey blue,254,000,000,#FE0000
grey brown,197,029,052,#C51D34
grey olive,203,050,052,#CB3234
grey white,179,036,040,#B32428
heather violet,114,020,034,#721422
honey yellow,180,076,067,#B44C43
iron grey,222,076,138,#6D3F5B
ivory,146,043,062,#922B3E
jet black,222,076,138,#DE4C8A
khaki grey,110,028,052,#641C34
leaf green,108,070,117,#6C4675
lemon yellow,160,052,114,#A03472
light blue,074,025,044,#4A192C
light green,144,070,132,#924E7D
light grey,164,125,144,#A18594
